Product,Type,Release Date,Process Size (nm),TDP (W),Transistors (million),Freq (MHz),Vendor
AMD Athlon 64 3500+,CPU,2007-02-20,65.0,45.0,122.0,2200.0,AMD
AMD Athlon 200GE,CPU,2018-09-06,14.0,35.0,4800.0,3200.0,AMD
Intel Xeon E5-2603 v2,CPU,2013-09-01,22.0,80.0,1400.0,1800.0,Intel
AMD Phenom II X4 980 BE,CPU,2011-05-03,45.0,125.0,758.0,3700.0,AMD
Intel Xeon E5-2470 v2,CPU,2013-09-01,22.0,95.0,1400.0,2400.0,Intel
AMD Phenom X4 9750 (125W),CPU,2008-03-27,65.0,125.0,450.0,2400.0,AMD
Intel Pentium D 930,CPU,2006-01-16,65.0,130.0,376.0,3000.0,Intel
AMD Athlon 64 X2 4200+,CPU,2006-05-23,90.0,89.0,154.0,2200.0,AMD
AMD Sempron 2800+,CPU,2004-08-01,130.0,62.0,37.0,1992.0,AMD
Intel Core i7-3632QM,CPU,2012-10-19,22.0,35.0,1480.0,2200.0,Intel
AMD Phenom X4 9600 BE,CPU,2007-12-19,65.0,95.0,450.0,2300.0,AMD
Intel Pentium 3560Y,CPU,2013-09-01,22.0,12.0,1400.0,1200.0,Intel
Intel Pentium 4 506,CPU,2005-06-01,90.0,84.0,125.0,2660.0,Intel
Intel Xeon E5-2430 v2,CPU,2013-09-01,22.0,80.0,1400.0,2500.0,Intel
AMD Athlon 64 X2 4800+,CPU,2006-05-23,90.0,110.0,233.0,2400.0,AMD
AMD Opteron 148 HE,CPU,2004-12-01,90.0,55.0,106.0,2200.0,AMD
AMD Athlon 1100,CPU,2000-08-14,180.0,60.0,37.0,1100.0,AMD
Intel Core i7-975,CPU,2009-06-02,45.0,130.0,731.0,3333.0,Intel
AMD Athlon 64 3500+,CPU,2001-01-01,90.0,67.0,105.0,2200.0,AMD
Intel Pentium 4 HT 672,CPU,2005-11-14,90.0,84.0,169.0,3800.0,Intel
Intel Pentium D 830,CPU,2005-05-26,90.0,130.0,169.0,3000.0,Intel
AMD EPYC 7371,CPU,2018-11-16,14.0,170.0,4800.0,3100.0,AMD
Intel Pentium 4 HT 550,CPU,2004-06-21,90.0,115.0,125.0,3400.0,Intel
Intel Pentium III 1266S,CPU,2001-07-01,130.0,30.0,44.0,1266.0,Intel
AMD Sempron 140,CPU,2009-07-22,45.0,45.0,234.0,2700.0,AMD
AMD EPYC 7501,CPU,2017-06-29,14.0,170.0,4800.0,2000.0,AMD
Intel Atom E680,CPU,2010-09-14,45.0,4.0,47.0,1600.0,Intel
Intel Xeon E5-2690 v2,CPU,2013-09-01,22.0,130.0,1400.0,3000.0,Intel
Intel Xeon Phi 7120A,CPU,2014-04-06,22.0,300.0,5000.0,1238.0,Intel
AMD Phenom X4 9600,CPU,2007-11-19,65.0,95.0,450.0,2300.0,AMD
Intel Core i3-2330M,CPU,2011-06-01,32.0,35.0,624.0,2200.0,Intel
AMD Opteron X2 180,CPU,2005-09-26,90.0,110.0,233.0,2400.0,AMD
AMD E2-3200,CPU,2011-09-07,32.0,65.0,1178.0,2400.0,AMD
AMD Turion 64 MT-34,CPU,2005-03-10,90.0,25.0,114.0,1800.0,AMD
Intel Pentium III  866,CPU,2001-06-01,180.0,38.0,44.0,866.0,Intel
Intel Core 2 Quad Q9550S,CPU,2009-01-27,45.0,65.0,820.0,2833.0,Intel
Intel Core i7-4500U,CPU,2013-06-04,22.0,15.0,1300.0,1800.0,Intel
AMD Opteron X2 185,CPU,2006-03-06,90.0,110.0,233.0,2600.0,AMD
AMD Ryzen 5 1400,CPU,2017-04-11,14.0,65.0,4800.0,3200.0,AMD
AMD A4-3300M,CPU,2011-06-14,32.0,35.0,1178.0,1900.0,AMD
Intel Xeon 3.20,CPU,2003-10-06,130.0,97.0,286.0,3200.0,Intel
AMD Opteron 848,CPU,2004-12-01,90.0,85.0,106.0,2200.0,AMD
Intel Core 2 Extreme QX6700,CPU,2006-11-01,65.0,130.0,582.0,2666.0,Intel
AMD A6-3600,CPU,2011-06-30,32.0,65.0,1178.0,2100.0,AMD
Intel Xeon Phi 7120X,CPU,2013-06-17,22.0,300.0,5000.0,1238.0,Intel
Intel Pentium 2129Y,CPU,2012-09-01,22.0,10.0,1400.0,1100.0,Intel
AMD Athlon 64 X2 5600+,CPU,2006-12-12,90.0,89.0,227.0,2800.0,AMD
AMD Athlon II X4 640,CPU,2010-05-11,45.0,95.0,300.0,3000.0,AMD
Intel Atom Z515,CPU,2009-04-08,45.0,1.0,47.0,1200.0,Intel
AMD EPYC 7302,CPU,2019-08-07,7.0,155.0,3800.0,3000.0,AMD
AMD Ryzen 9 5900HX,CPU,2021-01-12,7.0,45.0,9800.0,3300.0,AMD
AMD EPYC 7502,CPU,2019-08-07,7.0,180.0,3800.0,2500.0,AMD
AMD Athlon 64 4000+,CPU,2007-02-20,90.0,62.0,227.0,2600.0,AMD
Intel Pentium III 1400S,CPU,2002-01-08,130.0,32.0,44.0,1400.0,Intel
AMD Mobile Athlon 64 3400+,CPU,2005-08-01,130.0,82.0,106.0,2200.0,AMD
Intel Xeon E5-2620 v2,CPU,2013-09-01,22.0,80.0,1400.0,2100.0,Intel
Intel Xeon Platinum 8260,CPU,2018-12-11,14.0,165.0,8000.0,2400.0,Intel
AMD Athlon 64 3500+,CPU,2005-05-31,90.0,67.0,154.0,2200.0,AMD
Intel Atom N2600,CPU,2011-12-01,32.0,4.0,176.0,1600.0,Intel
AMD Ryzen Threadripper PRO 3955WX,CPU,2020-07-14,7.0,280.0,3800.0,3900.0,AMD
Intel Celeron 2980U,CPU,2013-09-01,22.0,15.0,1400.0,1600.0,Intel
AMD Athlon 64 X2 4000+,CPU,2006-05-23,90.0,89.0,154.0,2000.0,AMD
Intel Xeon E5-2630L v2,CPU,2013-09-01,22.0,60.0,1400.0,2400.0,Intel
AMD Ryzen 7 3750H,CPU,2019-01-06,12.0,35.0,4940.0,2300.0,AMD
Intel A110,CPU,2007-06-01,90.0,3.0,176.0,800.0,Intel
AMD Ryzen 5 5500U,CPU,2021-01-12,7.0,25.0,9800.0,2100.0,AMD
Intel Core Solo T1350,CPU,2006-01-05,65.0,27.0,151.0,1866.0,Intel
AMD A4-5300B,CPU,2012-10-02,32.0,65.0,1178.0,3400.0,AMD
Intel Core Duo T2600,CPU,2006-01-05,65.0,31.0,151.0,2166.0,Intel
Intel Pentium G4500,CPU,2015-09-01,14.0,51.0,1400.0,3500.0,Intel
